tch_id,data_category,label_zh,label_en,definition_zh,definition_en,has_synonym_zh,has_synonym_en,parents,realizes_principle,treats_pattern,treats_disease,employs_herb,employs_formula,xrefs,sources,date_accessed,notes
TmpTCH:METHOD_61000,method,治法,Therapeutic Method,"中医治法根类别,包含所有治法术语",Root category for all TCM therapeutic method terms,,,,,,,,,,,2025-11-12,ROOT category for Method hierarchy
TmpTCH:METHOD_61255,method,辛凉解表,releasing the external with pungent-cool medicinals,运用味辛性凉，具有疏散风热、解表等作用的方药或相关疗法，以治疗风热犯表等所致病证的治法。,,"辛凉透表,疏散风热",,TmpTCH:METHOD_61002,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.1.3; Database: clinical_treatment
TmpTCH:METHOD_61006,method,疏邪解表,dispersing pathogenic factors and releasing the external,运用具有疏散外邪、解肌发表等作用的方药或相关疗法，以治疗风寒袭表、风热在表、湿郁卫表、风湿滞表、寒湿犯表、暑湿袭表等邪郁肌表所致病证的治法。,,疏邪透表,,TmpTCH:METHOD_61002,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.1.4; Database: clinical_treatment
TmpTCH:METHOD_61007,method,解肌发表,releasing the flesh and effusing the external,运用具有解肌、发散等作用的方药或相关疗法，以治疗风热在表、湿郁卫表、暑湿袭表等邪在肌表所致病证的治法。,,,,TmpTCH:METHOD_61006,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.1.4.1; Database: clinical_treatment
TmpTCH:METHOD_61256,method,疏风解表,dispersing wind and releasing the external,运用具有疏散风邪、解肌发表等作用的方药或相关疗法，以治疗风邪犯表等所致病证的治法。,,,,TmpTCH:METHOD_61007,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.1.4.1.1; Database: clinical_treatment
TmpTCH:METHOD_61008,method,解肌透疹,releasing the flesh and outthrusting rashes,运用具有辛凉解毒、疏风解肌、达邪透疹等作用的方药或相关疗法，以治疗风热蕴肤、风毒犯表、风热湿毒壅盛、血热风盛、肺经风热、麻毒陷肺等所致病证的治法。,,,,TmpTCH:METHOD_61006,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.1.4.2; Database: clinical_treatment
TmpTCH:METHOD_61257,method,疏风透疹,dispersing wind and outthrusting rashes,运用具有疏风解肌、达邪透疹等作用的方药或相关疗法，以治疗风邪外袭、风热蕴肤、风寒外袭等所致病证的治法。,,解表透疹,,TmpTCH:METHOD_61008,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.1.4.2.1; Database: clinical_treatment
TmpTCH:METHOD_61258,method,解毒透疹,removing toxin and outthrusting rashes,运用具有辛凉解毒、达邪透疹等作用的方药或相关疗法，以治疗肺热发疹、麻毒陷肺等所致病证的治法。,,,,TmpTCH:METHOD_61008,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.1.4.2.2; Database: clinical_treatment
TmpTCH:METHOD_61259,method,祛湿解表,dispelling dampness and releasing the external,解散表邪药与芳香化湿药并用，以治疗风湿袭表等所致病证的治法。,,,,TmpTCH:METHOD_61006,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.1.4.3; Database: clinical_treatment
TmpTCH:METHOD_61260,method,理气解表,regulating qi and releasing the external,解散表邪药与调理气机药并用，以治疗外有表邪、内有气滞等所致病证的治法。,,,,TmpTCH:METHOD_61006,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.1.4.4; Database: clinical_treatment
TmpTCH:METHOD_61009,method,扶正解表,reinforcing healthy qi and releasing the external,发散解表药与扶助、补养正气药并用，以治疗气血阴阳虚弱、外邪束表等所致病证的治法。,,,,TmpTCH:METHOD_61002,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.1.5; Database: clinical_treatment
TmpTCH:METHOD_61261,method,益气解表,replenishing qi and releasing the external,解表药与补气药并用，以治疗气虚外感等所致病证的治法。,,,,TmpTCH:METHOD_61009,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.1.5.1; Database: clinical_treatment
TmpTCH:METHOD_61010,method,养血解表,nourishing blood and releasing the external,解表药与补血药并用，以治疗血虚外感等所致病证的治法。,,,,TmpTCH:METHOD_61009,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.1.5.2; Database: clinical_treatment
TmpTCH:METHOD_61262,method,求汗于血,promoting sweating through nourishing blood,运用补养阴血为主，佐以具有发汗解表作用的方药或相关疗法，以治疗风寒外束、阴血不足而难以汗解所致病证的治法。,,,,TmpTCH:METHOD_61010,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.1.5.2.1; Database: clinical_treatment
TmpTCH:METHOD_61263,method,滋阴解表,enriching yin and releasing the external,解表药与滋阴药并用，以治疗阴虚外感等所致病证的治法。,,滋阴发汗,,TmpTCH:METHOD_61009,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.1.5.3; Database: clinical_treatment
TmpTCH:METHOD_61011,method,温阳解表,assisting yang and releasing the external,解表药与温阳药并用，以治疗阳虚外感等所致病证的治法。,,"温阳发汗,助阳解表,助阳发汗",,TmpTCH:METHOD_61009,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.1.5.4; Database: clinical_treatment
TmpTCH:METHOD_61264,method,温经解表,warming meridians and releasing the external,辛温解表药与温通经脉药并用，以治疗风寒袭络、寒胜痛痹等所致病证的治法。,,温经发汗,,TmpTCH:METHOD_61011,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.1.5.4.1; Database: clinical_treatment
TmpTCH:METHOD_61265,method,解表通经,dispersing the external to unblock meridians,运用具有疏散表邪、温通经气等作用的方药或相关疗法，以治疗寒邪束表、经气不利等所致病证的治法。,,,,TmpTCH:METHOD_61011,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.1.5.4.2; Database: clinical_treatment
TmpTCH:METHOD_61012,method,润燥法,dryness-moistening therapy,泛指运用具有生津滋液，凉润或温润等作用的方药或相关疗法，以治疗燥邪外感或阴虚内燥等所致病证的一类治法。,,,,TmpTCH:METHOD_61001,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.10; Database: clinical_treatment
TmpTCH:METHOD_61013,method,轻宣润燥,diffusing and moistening dryness with light herbs,运用具有轻宣散邪、增液润燥等作用的方药或相关疗法，以治疗燥邪外感等所致病证的治法。,,轻宣外燥,,TmpTCH:METHOD_61012,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.10.1; Database: clinical_treatment
TmpTCH:METHOD_61266,method,疏表润燥,dispersing the external and moistening dryness,运用具有轻宣润燥、解表祛邪等作用的方药或相关疗法，以治疗外燥袭表等所致病证的治法。,,,,TmpTCH:METHOD_61013,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.10.1.1; Database: clinical_treatment
TmpTCH:METHOD_61267,method,祛风润燥,dispelling wind and moistening dryness,运用具有轻宣润燥、疏风散邪等作用的方药或相关疗法，以治疗风燥犯表、风燥伤肤、风燥伤肺等所致病证的治法。,,疏风润燥,,TmpTCH:METHOD_61013,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.10.1.2; Database: clinical_treatment
TmpTCH:METHOD_61268,method,轻宣凉燥,diffusing coolness and dryness with light medicinals,运用具有轻宣温润、疏散寒邪等作用的方药或相关疗法，以治疗凉燥袭表、凉燥袭肺等所致病证的治法。,,散寒润燥,,TmpTCH:METHOD_61013,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.10.1.3; Database: clinical_treatment
TmpTCH:METHOD_61269,method,清宣润燥,clearing and diffusing heat and moistening dryness,运用具有轻宣凉润、清热透邪等作用的方药或相关疗法，以治疗温燥袭表、温燥袭肺、温燥伤津或伤阴等所致病证的治法。,,,,TmpTCH:METHOD_61013,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.10.1.4; Database: clinical_treatment
TmpTCH:METHOD_61014,method,清热润燥,clearing heat and moistening dryness,运用具有清热泻火、增液润燥等作用的方药或相关疗法，以治疗温燥伤阴、热盛伤津、火热伤阴、热结肠燥等所致病证的治法。,,,,TmpTCH:METHOD_61012,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.10.2; Database: clinical_treatment
TmpTCH:METHOD_61270,method,清肺润燥,clearing the lung and moistening dryness,运用具有清热宣肺、增液润燥等作用的方药或相关疗法，以治疗燥邪犯肺、肺热阴虚、肺燥郁热等所致病证的治法。,,清燥润肺,,TmpTCH:METHOD_61014,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.10.2.1; Database: clinical_treatment
TmpTCH:METHOD_61015,method,养血润燥,nourishing blood to moisten dryness,运用具有补血养血、增液润燥等作用的方药或相关疗法，以治疗阴虚血燥、血虚风燥等所致病证的治法。,,补血润燥,,TmpTCH:METHOD_61012,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.10.3; Database: clinical_treatment
TmpTCH:METHOD_61271,method,养营润燥,nourishing nutrient and moistening dryness,运用具有养营、和血、润燥等作用的方药或相关疗法，以治疗营血亏虚等所致病证的治法。,,,,TmpTCH:METHOD_61015,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.10.3.1; Database: clinical_treatment
TmpTCH:METHOD_61272,method,养血润肤,nourishing blood and moistening skin,运用具有补血增液、润燥止痒等作用的方药或相关疗法，以治疗血不润肤等所致病证的治法。,,,,TmpTCH:METHOD_61015,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.10.3.2; Database: clinical_treatment
TmpTCH:METHOD_61273,method,润肤止痒,moistening skin to stop itching,运用具有养血润燥、祛风止痒等作用的方药或相关疗法，以治疗血虚风燥等所致病证的治法。,,润燥止痒,,TmpTCH:METHOD_61015,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.10.3.3; Database: clinical_treatment
TmpTCH:METHOD_61016,method,滋阴润燥,enriching yin and moistening dryness,运用具有滋阴清热、增液润燥等作用的方药或相关疗法，以治疗阴虚内燥等所致病证的治法。,,养阴润燥,,TmpTCH:METHOD_61012,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.10.4; Database: clinical_treatment
TmpTCH:METHOD_61017,method,生津润燥,producing fluid to moisten dryness,运用生津增液以润燥的方药或相关疗法，以治疗津液亏虚、津亏化燥等所致病证的治法。,,,,TmpTCH:METHOD_61016,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.10.4.1; Database: clinical_treatment
TmpTCH:METHOD_61274,method,生津止渴,producing fluid to quench thirst,运用具有生津作用的方药或相关疗法等以止渴，治疗津液亏虚等所致病证的治法。,,,,TmpTCH:METHOD_61017,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.10.4.1.1; Database: clinical_treatment
TmpTCH:METHOD_61275,method,润燥止渴,moistening dryness to quench thirst,运用具有滋阴增液、解除口渴等作用的方药或相关疗法，以治疗津亏化燥、阴虚津亏等所致病证的治法。,,,,TmpTCH:METHOD_61017,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.10.4.1.2; Database: clinical_treatment
TmpTCH:METHOD_61018,method,增液润肺,increasing humor to moisten the lung,运用具有生津增液、润燥养肺等作用的方药或相关疗法，以治疗肺燥津亏、肺燥伤阴、肺燥阴虚等所致病证的治法。,,,,TmpTCH:METHOD_61016,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.10.4.2; Database: clinical_treatment
TmpTCH:METHOD_61276,method,润燥止咳,moistening dryness to stop cough,运用具有滋阴润燥、养肺止咳等作用的方药或相关疗法，以治疗阴虚肺燥等所致病证的治法。,,润肺止咳,,TmpTCH:METHOD_61018,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.10.4.2.1; Database: clinical_treatment
TmpTCH:METHOD_61277,method,增液通便,replenishing humor to promote defecation,运用大剂滋养阴液以润肠通便的方药或相关疗法，治疗大肠津亏、肠热阴虚等所致病证的治法。,,"增水行舟,增液润肠,增液通下,滋阴通下",,TmpTCH:METHOD_61016,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.10.4.3; Database: clinical_treatment
TmpTCH:METHOD_61278,method,润燥解毒,moistening dryness and removing toxin,运用具有滋阴润燥、祛邪解毒等作用的方药或相关疗法，以治疗燥毒伤阴等所致病证的治法。,,,,TmpTCH:METHOD_61016,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.10.4.4; Database: clinical_treatment
TmpTCH:METHOD_61019,method,补益法,tonifying and replenishing therapy,泛指运用具有益气、补血、滋阴、温阳等作用的方药或相关疗法，以治疗正气虚等所致虚弱病证的一类治法。,,补法,,TmpTCH:METHOD_61001,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.11; Database: clinical_treatment
TmpTCH:METHOD_61020,method,补气,tonifying  qi,泛指运用具有补益或扶助正气等作用的方药或相关疗法，以治疗气虚等所致病证的一类治法。,,益气,,TmpTCH:METHOD_61019,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.11.1; Database: clinical_treatment
TmpTCH:METHOD_61021,method,补益心气,tonifying and replenishing heart qi,运用具有补气养心等作用的方药或相关疗法，以治疗心气虚等所致病证的治法。,,补心益气,,TmpTCH:METHOD_61020,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.11.1.1; Database: clinical_treatment
TmpTCH:METHOD_61279,method,益气生脉,replenishing qi and reviving pulse,运用具有补气、增液、复脉等作用的方药或相关疗法，以治疗心气亏虚、气虚欲脱等所致病证的治法。,,,,TmpTCH:METHOD_61021,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.11.1.1.1; Database: clinical_treatment
TmpTCH:METHOD_61280,method,补益心肺,tonifying and replenishing the heart and lung,运用具有补养心气、补益肺气等作用的方药或相关疗法，以治疗心肺气虚等所致病证的治法。,,补心益肺,,TmpTCH:METHOD_61021,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.11.1.1.2; Database: clinical_treatment
TmpTCH:METHOD_61281,method,补益肝气,tonifying and replenishing liver qi,运用具有益气扶正、养肝和肝等作用的方药或相关疗法，以治疗肝气虚等所致病证的治法。,,补肝益气,,TmpTCH:METHOD_61020,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.11.1.2; Database: clinical_treatment
TmpTCH:METHOD_61022,method,补益中气,tonifying and replenishing middle qi,运用具有补气、健脾、益胃等作用的方药或相关疗法，以治疗脾胃气虚等所致病证的治法。,,"补脾健胃,补中益气",,TmpTCH:METHOD_61020,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.11.1.3; Database: clinical_treatment
TmpTCH:METHOD_61023,method,补益脾气,tonifying the spleen and replenishing qi,运用具有健脾、益气等作用的方药或相关疗法，以治疗脾气虚等所致病证的治法。,,"补脾益气,健脾益气",,TmpTCH:METHOD_61022,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.11.1.3.1; Database: clinical_treatment
TmpTCH:METHOD_61282,method,补脾止泻,tonifying the spleen to stop diarrhea,运用具有补益脾气、和中止泻等作用的方药或相关疗法，以治疗脾气亏虚等所致病证的治法。,,补脾止泄,,TmpTCH:METHOD_61023,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.11.1.3.1.1; Database: clinical_treatment
TmpTCH:METHOD_61283,method,补脾益肺,tonifying the spleen and replenishing the lung,运用具有补益脾肺之气等作用的方药或相关疗法，以治疗脾肺气虚等所致病证的治法。,,培土生金,,TmpTCH:METHOD_61023,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.11.1.3.1.2; Database: clinical_treatment
TmpTCH:METHOD_61284,method,补益脾肾,tonifying and replenishing the spleen and kidney,运用具有健运脾气、补益肾气等作用的方药或相关疗法，以治疗脾肾气虚等所致病证的治法。,,补脾益肾,,TmpTCH:METHOD_61023,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.11.1.3.1.3; Database: clinical_treatment
TmpTCH:METHOD_61285,method,补胃和中,tonifying the stomach and harmonizing the middle,运用具有补气健胃、和中消滞等作用的方药或相关疗法，以治疗胃气虚、脾胃或肝胃不和等所致病证的治法。,,,,TmpTCH:METHOD_61022,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.11.1.3.2; Database: clinical_treatment
TmpTCH:METHOD_61024,method,益气升阳,replenishing qi to rise yang,运用具有补益脾气、升发阳气或升阳散火等作用的方药或相关疗法，以治疗表热里寒、气虚下陷、脾阳不振、阴火乘脾等所致病证的治法。,,"补脾升阳,升阳益气",,TmpTCH:METHOD_61022,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.11.1.3.3; Database: clinical_treatment
TmpTCH:METHOD_61286,method,升阳益气散火,rising yang to replenish qi and to dissipate fire,运用具有补脾升阳、疏风散火等作用的方药及相关疗法，以治疗阴火乘脾等所致病证的治法。,,,,TmpTCH:METHOD_61024,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.11.1.3.3.1; Database: clinical_treatment
TmpTCH:METHOD_61287,method,补益肺气,tonifying and replenishing lung qi,运用具有补气养肺等作用的方药或相关疗法，以治疗肺气虚等所致病证的治法。,,补肺益气,,TmpTCH:METHOD_61020,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.11.1.4; Database: clinical_treatment
TmpTCH:METHOD_61025,method,补益肾气,tonifying and replenishing kidney qi,运用具有益气扶正、养肾等作用的方药或相关疗法，以治疗肾气虚等所致病证的治法。,,补肾益气,,TmpTCH:METHOD_61020,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.11.1.5; Database: clinical_treatment
TmpTCH:METHOD_61288,method,补肾纳气,tonifying the kidney to receive qi,运用具有补肾平喘、纳气归元等作用的方药或相关疗法，以治疗肾不纳气等所致病证的治法。,,纳气平喘,,TmpTCH:METHOD_61025,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.11.1.5.1; Database: clinical_treatment
TmpTCH:METHOD_61289,method,补肾益肺,tonfiying the kidney and replenishing the lung,运用具有补益肾气、摄纳肺气等作用的方药或相关疗法，以治疗肺肾气虚或肾不纳气等所致病证的治法。,,,,TmpTCH:METHOD_61025,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.11.1.5.2; Database: clinical_treatment
TmpTCH:METHOD_61290,method,补肾扶元,tonifying the kidney to reinforce original qi,运用血肉有情之品，具有益气扶正、培补肾气作用的方药或相关疗法，以治疗肾气虚等所致病证的治法。,,补肾培元,,TmpTCH:METHOD_61025,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.11.1.5.3; Database: clinical_treatment
TmpTCH:METHOD_61291,method,补肾安胎,tonifying the kidney to calm fetus,运用具有益气补肾、固摄安胎等作用的方药或相关疗法，以治疗肾虚而胎动不安等所致病证的治法。,,补气安胎,,TmpTCH:METHOD_61025,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.11.1.5.4; Database: clinical_treatment
TmpTCH:METHOD_61292,method,益气下胎,replenishing qi to deliver dead fetus,运用具有益气扶正、催产下胎等作用的方药或相关疗法，以治疗气虚等所致难产病证的治法。,,益气催产,,TmpTCH:METHOD_61020,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.11.1.6; Database: clinical_treatment
TmpTCH:METHOD_61026,method,补气固脱,tonifying qi and securing collapse,运用具有大补元气、固摄救脱等作用的方药或相关疗法，以治疗元气虚脱等所致病证的治法。,,,,TmpTCH:METHOD_61020,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.11.1.7; Database: clinical_treatment
TmpTCH:METHOD_61293,method,益气固脱,replenishing qi to prevent prostration,运用具有益气固摄、救脱等作用的方药或相关疗法，以治疗津血丧失过多、气失依附而气脱等所致病证的治法。,,,,TmpTCH:METHOD_61026,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.11.1.7.1; Database: clinical_treatment
TmpTCH:METHOD_61294,method,补气回阳,tonifying qi and restoring yang,运用具有温补阳气、回阳固脱等作用的方药或相关疗法，以治疗阳气欲脱等所致病证的治法。,,益气回阳,,TmpTCH:METHOD_61026,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.11.1.7.2; Database: clinical_treatment
TmpTCH:METHOD_61027,method,补气祛邪,tonifying qi to dispel pathogenic factors,运用具有益气扶正、祛邪外出等作用的方药或相关疗法，以治疗气虚邪恋等所致病证的一类治法。,,,,TmpTCH:METHOD_61020,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.11.1.8; Database: clinical_treatment
TmpTCH:METHOD_61295,method,益气退热,replenishing qi and abating fever,运用具有益气健脾、甘温除热等作用的方药或相关疗法，以治疗气虚发热等所致病证的治法。,,甘温除热,,TmpTCH:METHOD_61027,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.11.1.8.1; Database: clinical_treatment
TmpTCH:METHOD_61296,method,补气清热,tonifying qi to clear heat,运用具有益气扶正、清除热邪等作用的方药或相关疗法，以治疗气虚余热等所致病证的治法。,,,,TmpTCH:METHOD_61027,,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 3.11.1.8.2; Database: clinical_treatment
