tch_id,data_category,label_zh,label_en,definition_zh,definition_en,has_synonym_zh,has_synonym_en,parents,applied_to_pattern,applied_to_disease,realized_by_method,constrains_formula,xrefs,sources,date_accessed,notes
TmpTCH:PRINCIPLE_60000,principle,治则,Therapeutic Principle,"中医治则根类别,包含所有治则术语",Root category for all TCM therapeutic principle terms,,,,,,,,,,2025-11-12,ROOT category for Principle hierarchy
TmpTCH:PRINCIPLE_60025,principle,虚者补其母,nourishing the mother-organ in dealing with deficiency syndrome/patterns,根据五行学说的母子相生关系，间接调补脏腑虚证的一种方法。 注： 如“土生金”，是指利用脾土与肺金的母子相生关系，以调补肺虚证。即通过补益脾胃，促使脾土充养肺金。,,,,TmpTCH:PRINCIPLE_60001,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 2.15; Database: clinical_treatment
TmpTCH:PRINCIPLE_60026,principle,实者泻其子,purging the child-organ in dealing with excess syndrome/patterns,根据五行学说的母子相生关系，间接治疗脏腑实证的一种方法。 注： 如“火生土”是指利用心火与脾土的母子相生关系，必要时可以通过清泄脾土以平抑心火亢盛。,,,,TmpTCH:PRINCIPLE_60001,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 2.16; Database: clinical_treatment
TmpTCH:PRINCIPLE_60027,principle,急则治标,treating the tip in acute disease,与缓则治本相对。在大出血或暴泻、剧痛、尿闭等标病、标症紧急的情况下，及时采用止血或止泻、止痛、利尿等救治标病、标症的方法，然后再治其本病的治疗原则。,,,,TmpTCH:PRINCIPLE_60001,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 2.2; Database: clinical_treatment
TmpTCH:PRINCIPLE_60028,principle,缓则治本,treating the root in chronic disease,与急则治标相对。在病势相对缓和，或病情稳定的情况下，先治疗其本病，或采取以调理、补益等为主的治疗原则。,,,,TmpTCH:PRINCIPLE_60001,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 2.3; Database: clinical_treatment
TmpTCH:PRINCIPLE_60029,principle,标本兼治,treating both the tip and root,在病症出现标本并重的情况下，采用治标与治本相兼或同时并用的治疗原则。,,标本同治,,TmpTCH:PRINCIPLE_60001,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 2.4; Database: clinical_treatment
TmpTCH:PRINCIPLE_60030,principle,因时制宜,treatment in accordance with seasons,在诊断和治疗时，兼顾时令、节气和气候等的不同，选择适宜的方法、药物等进行防治的原则。,,,,TmpTCH:PRINCIPLE_60001,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 2.5; Database: clinical_treatment
TmpTCH:PRINCIPLE_60031,principle,因地制宜,treatment in accordance with local conditions,在诊断和治疗时，兼顾地域、自然环境及生活习俗等的不同，选择适宜的方法、药物等进行防治的原则。,,,,TmpTCH:PRINCIPLE_60001,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 2.6; Database: clinical_treatment
TmpTCH:PRINCIPLE_60032,principle,因人制宜,treatment in accordance with individuality,在诊断和治疗时，兼顾病人性别、年龄、秉质、性情等个体差异，选择适宜的方法、药物等进行防治的原则。,,,,TmpTCH:PRINCIPLE_60001,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 2.7; Database: clinical_treatment
TmpTCH:PRINCIPLE_60033,principle,扶正祛邪,reinforcing healthy qi and eliminating pathogenic factors,对于正气虚弱而病邪不能外达，或因虚致实等病证，采用扶助正气为主，辅之以祛邪的方法，以促使正胜邪退的治疗原则。,,扶正达邪,,TmpTCH:PRINCIPLE_60001,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 2.8; Database: clinical_treatment
TmpTCH:PRINCIPLE_60034,principle,扶正固本,reinforcing healthy qi and securing the root,对于正气亏虚等所致病证，采用培补正气以愈病的治疗原则。,,扶正培本,,TmpTCH:PRINCIPLE_60001,,,,,,GB/T 16751.3 -2023中医临床诊疗术语 第3部分：治法,2025-11-12,Original code: 2.9; Database: clinical_treatment
