tch_id,data_category,label_zh,label_en,definition_zh,definition_en,associated_pathomechanism,sources,date_accessed,notes
TmpTCH:SYMPTOM_20015,symptom,暴发火眼,暴发火眼,传染性结膜炎，又叫红眼病，是一种急性传染性眼部疾患。根据不同的致病原因，可分为细菌性结膜炎和病毒性结膜炎两类，其临床症状相似，但流行程度和危害性以病毒性结膜炎为重。本病全年均可发生，以春夏季节多见。红眼病是通过接触传染的眼病，如接触患者用过的毛巾、洗脸用具、水龙头、门把、游泳池的水、公用的玩具等。因此，本病常在幼儿园、学校、医院、工厂等集体单位广泛传播，造成暴发流行。红眼病多是双眼先后发病，患病早期，病人感到双眼发烫、烧灼、畏光、眼红，自觉眼睛磨痛，像进入沙子般地滚痛难忍，紧接着眼皮红肿、眼眵多、怕光、流泪，早晨起床时，眼皮常被分泌物粘住，不易睁开。有的病人结膜上出现小出血点或出血斑，分泌物呈粘液脓性，有时在睑结膜表面形成一层灰白色假膜，角膜边缘可有灰白色浸润点，严重的可伴有头痛、发热、疲劳、耳前淋巴结肿大等全身症状。,传染性结膜炎，又叫红眼病，是一种急性传染性眼部疾患。根据不同的致病原因，可分为细菌性结膜炎和病毒性结膜炎两类，其临床症状相似，但流行程度和危害性以病毒性结膜炎为重。本病全年均可发生，以春夏季节多见。红眼病是通过接触传染的眼病，如接触患者用过的毛巾、洗脸用具、水龙头、门把、游泳池的水、公用的玩具等。因此，本病常在幼儿园、学校、医院、工厂等集体单位广泛传播，造成暴发流行。红眼病多是双眼先后发病，患病早期，病人感到双眼发烫、烧灼、畏光、眼红，自觉眼睛磨痛，像进入沙子般地滚痛难忍，紧接着眼皮红肿、眼眵多、怕光、流泪，早晨起床时，眼皮常被分泌物粘住，不易睁开。有的病人结膜上出现小出血点或出血斑，分泌物呈粘液脓性，有时在睑结膜表面形成一层灰白色假膜，角膜边缘可有灰白色浸润点，严重的可伴有头痛、发热、疲劳、耳前淋巴结肿大等全身症状。,火热,SymMap2.0 SMTS16,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20016,symptom,暴厥,暴厥,古病名-因气逆于上，而致猝然昏厥，不省人事，脉来洪盛有力或脉来躁急如喘的严重病证,古病名-因气逆于上，而致猝然昏厥，不省人事，脉来洪盛有力或脉来躁急如喘的严重病证,气闭,SymMap2.0 SMTS17,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20017,symptom,暴注下泻,暴注下泻,严重腹泻,严重腹泻,湿热,SymMap2.0 SMTS18,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20018,symptom,背冷,背冷,"指背部自觉冷凉感而言。本症 《伤寒论》 称 ""背恶寒"" 。《金匮要略》 名 ""背寒冷"" 。《河间六书·强痛恶 寒》 篇称 ""背怯qie冷"" ","指背部自觉冷凉感而言。本症 《伤寒论》 称 ""背恶寒"" 。《金匮要略》 名 ""背寒冷"" 。《河间六书·强痛恶 寒》 篇称 ""背怯qie冷"" ",阳虚,SymMap2.0 SMTS19,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20019,symptom,背酸痛,背酸痛,背部酸痛,背部酸痛,肾虚,SymMap2.0 SMTS20,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20020,symptom,背疼痛,背疼痛,背部疼痛,背部疼痛,经络不通,SymMap2.0 SMTS21,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20021,symptom,背痛,背痛,以腰部、背部、肩部、腿部的放射性疼痛、酸痛、挤压痛、咳嗽痛、牵拉痛等为主，轻则影响正常生活，重则损害健康，严重者可丧失劳动能力。,以腰部、背部、肩部、腿部的放射性疼痛、酸痛、挤压痛、咳嗽痛、牵拉痛等为主，轻则影响正常生活，重则损害健康，严重者可丧失劳动能力。,经络不通,SymMap2.0 SMTS22,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20022,symptom,崩漏,崩漏,月经的周期、经期、经量发生严重失常的病证，其发病急骤，暴下如注，大量出血者为“崩”；病势缓，出血量少，淋漓不绝者为“漏”。可发生在月经初潮后至绝经的任何年龄，足以影响生育，危害健康。属妇科常见病，也是疑难急重病证。相当于西医病名无排卵性功能性子宫出血。,月经的周期、经期、经量发生严重失常的病证，其发病急骤，暴下如注，大量出血者为“崩”；病势缓，出血量少，淋漓不绝者为“漏”。可发生在月经初潮后至绝经的任何年龄，足以影响生育，危害健康。属妇科常见病，也是疑难急重病证。相当于西医病名无排卵性功能性子宫出血。,带脉失约,SymMap2.0 SMTS23,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20023,symptom,鼻干,鼻干,由于风燥异气内犯肺鼻，或胃腑湿热上蒸鼻窍所致的，以鼻腔干燥为主要表现的鼻部疾患。西医学的干燥性鼻炎可参考本篇进行辨证施治。,由于风燥异气内犯肺鼻，或胃腑湿热上蒸鼻窍所致的，以鼻腔干燥为主要表现的鼻部疾患。西医学的干燥性鼻炎可参考本篇进行辨证施治。,肺热,SymMap2.0 SMTS24,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20024,symptom,鼻干燥,鼻干燥,由于风燥异气内犯肺鼻，或胃腑湿热上蒸鼻窍所致的，以鼻腔干燥为主要表现的鼻部疾患。西医学的干燥性鼻炎可参考本篇进行辨证施治。,由于风燥异气内犯肺鼻，或胃腑湿热上蒸鼻窍所致的，以鼻腔干燥为主要表现的鼻部疾患。西医学的干燥性鼻炎可参考本篇进行辨证施治。,肺热,SymMap2.0 SMTS25,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20025,symptom,鼻流清涕,鼻流清涕,清水样鼻涕,清水样鼻涕,风寒犯肺,SymMap2.0 SMTS26,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20026,symptom,鼻流浊涕,鼻流浊涕,浑浊粘液鼻涕,浑浊粘液鼻涕,风热犯肺,SymMap2.0 SMTS27,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20027,symptom,鼻鸣,鼻鸣,嘘气或鼓鼻作响,嘘气或鼓鼻作响,肺气壅滞,SymMap2.0 SMTS28,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20028,symptom,鼻衄,鼻衄,俗称鼻出血。可由鼻部疾病引起，也可由全身疾病所致。鼻出血多为单侧，少数情况下可出现双侧鼻出血；出血量多少不一，轻者仅为涕中带血，重者可引起失血性休克，反复鼻出血可导致贫血。,俗称鼻出血。可由鼻部疾病引起，也可由全身疾病所致。鼻出血多为单侧，少数情况下可出现双侧鼻出血；出血量多少不一，轻者仅为涕中带血，重者可引起失血性休克，反复鼻出血可导致贫血。,肺胃蕴热,SymMap2.0 SMTS29,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20029,symptom,鼻塞,鼻塞,鼻塞是常见的症状之一，最常见的原因包括鼻炎、鼻窦炎、鼻息肉、鼻中隔偏曲、鼻腔鼻窦肿瘤、腺样体肥大等。理论上来说，鼻塞都可以通过不同的治疗方法进行解决。,鼻塞是常见的症状之一，最常见的原因包括鼻炎、鼻窦炎、鼻息肉、鼻中隔偏曲、鼻腔鼻窦肿瘤、腺样体肥大等。理论上来说，鼻塞都可以通过不同的治疗方法进行解决。,肺气不利,SymMap2.0 SMTS30,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20030,symptom,鼻咽部慢性炎症,鼻咽部慢性炎症,,,寒湿,SymMap2.0 SMTS31,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20031,symptom,鼻痒,鼻痒,鼻部瘙痒,鼻部瘙痒,肺气虚,SymMap2.0 SMTS32,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20032,symptom,鼻渊,鼻渊,中医病名。是指鼻流浊涕，如泉下渗，量多不止为主要特征的鼻病。常伴头痛、鼻塞、嗅觉减退，鼻窦区疼痛，久则虚眩不已。是鼻科常见病、多发病之一。亦有“脑漏”、“脑砂”、“脑崩”、“脑渊”之称。多因外感风热邪毒，或风寒侵袭，久而化热，邪热循经上蒸，犯及鼻窍；或胆经炎热，随经上犯，蒸灼鼻窍；或脾胃湿热，循胃经上扰等引起。,中医病名。是指鼻流浊涕，如泉下渗，量多不止为主要特征的鼻病。常伴头痛、鼻塞、嗅觉减退，鼻窦区疼痛，久则虚眩不已。是鼻科常见病、多发病之一。亦有“脑漏”、“脑砂”、“脑崩”、“脑渊”之称。多因外感风热邪毒，或风寒侵袭，久而化热，邪热循经上蒸，犯及鼻窍；或胆经炎热，随经上犯，蒸灼鼻窍；或脾胃湿热，循胃经上扰等引起。,热证,SymMap2.0 SMTS33,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20033,symptom,鼻燥,鼻燥,鼻部干燥,鼻部干燥,肺热,SymMap2.0 SMTS34,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20034,symptom,闭合性新旧软组织损伤,闭合性新旧软组织损伤,,,瘀证,SymMap2.0 SMTS35,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20035,symptom,闭经,闭经,多种疾病导致的女性体内病理生理变化的外在表现，是一种临床症状而并非某一疾病。按生殖轴病变和功能失调的部位分为下丘脑性闭经、垂体性闭经、卵巢性闭经、子宫性闭经以及下生殖道发育异常性闭经,多种疾病导致的女性体内病理生理变化的外在表现，是一种临床症状而并非某一疾病。按生殖轴病变和功能失调的部位分为下丘脑性闭经、垂体性闭经、卵巢性闭经、子宫性闭经以及下生殖道发育异常性闭经,任脉不通,SymMap2.0 SMTS36,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20036,symptom,痹病,痹病,痹病泛指机体正气不足，卫外不固，风、寒、湿、热等邪气乘虚而入，致使气血凝滞，经络痹阻，引起相关系统疾病的总称。《内经》所言五脏痹、六腑痹、奇恒之腑痹、五体肢节痹，反映了痹病的基本内容，可见痹病有广义和狭义的不同，又分外痹与内痹。痹者闭也。广义的痹病，泛指机体正气不足，卫外不固，邪气乘虚而入，脏腑经络气血为之痹阻而引起的疾病，包括《内经》所含肺痹、心痹等脏腑痹及肉痹、筋痹等络痹。狭义的痹病，即指其中的肢体经络痹，以肌肉、筋骨、关节发生疼痛、麻木、重着、屈伸不利，甚至关节肿大灼热为主要临床表现的病证。,痹病泛指机体正气不足，卫外不固，风、寒、湿、热等邪气乘虚而入，致使气血凝滞，经络痹阻，引起相关系统疾病的总称。《内经》所言五脏痹、六腑痹、奇恒之腑痹、五体肢节痹，反映了痹病的基本内容，可见痹病有广义和狭义的不同，又分外痹与内痹。痹者闭也。广义的痹病，泛指机体正气不足，卫外不固，邪气乘虚而入，脏腑经络气血为之痹阻而引起的疾病，包括《内经》所含肺痹、心痹等脏腑痹及肉痹、筋痹等络痹。狭义的痹病，即指其中的肢体经络痹，以肌肉、筋骨、关节发生疼痛、麻木、重着、屈伸不利，甚至关节肿大灼热为主要临床表现的病证。,经脉不通,SymMap2.0 SMTS37,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20037,symptom,痹痛,痹痛,痹痛即现代所说的富贵病，古称膏粱病。表现为痛风，治疗方法有滋补肾气、清利湿热、溶石化结。,痹痛即现代所说的富贵病，古称膏粱病。表现为痛风，治疗方法有滋补肾气、清利湿热、溶石化结。,经脉不通,SymMap2.0 SMTS38,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20038,symptom,臂疼痛,臂疼痛,手臂疼痛,手臂疼痛,经脉不通,SymMap2.0 SMTS39,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20039,symptom,臂痛,臂痛,手臂疼痛,手臂疼痛,经脉不通,SymMap2.0 SMTS40,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20040,symptom,便闭,便闭,即便秘的意思,即便秘的意思,大肠津亏,SymMap2.0 SMTS41,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20041,symptom,便干,便干,指大便干燥。多由胃肠燥热，津液耗伤或年老体弱，劳倦内伤，血虚津亏不能下润大便而致。,指大便干燥。多由胃肠燥热，津液耗伤或年老体弱，劳倦内伤，血虚津亏不能下润大便而致。,大肠津亏,SymMap2.0 SMTS42,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20042,symptom,便黄而黏,便黄而黏,大便黄而黏腻,大便黄而黏腻,湿热,SymMap2.0 SMTS43,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20043,symptom,便结,便结,大便粘结,大便粘结,津液匮乏,SymMap2.0 SMTS44,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20044,symptom,便秘,便秘,是以大便排出困难，排便周期延长，或周期不长，但粪质干结，排出艰难，或粪质不硬，虽频有便意，但排便不畅为主要表现的病证。,是以大便排出困难，排便周期延长，或周期不长，但粪质干结，排出艰难，或粪质不硬，虽频有便意，但排便不畅为主要表现的病证。,阳明燥结,SymMap2.0 SMTS45,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20045,symptom,便溏,便溏,大便不成型,大便不成型,脾气虚,SymMap2.0 SMTS46,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20046,symptom,便溏日久,便溏日久,长期大便不成型,长期大便不成型,脾虚,SymMap2.0 SMTS47,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20047,symptom,便下脓血,便下脓血,大便伴有脓血,大便伴有脓血,湿热,SymMap2.0 SMTS48,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20048,symptom,便泻,便泻,腹泻,腹泻,脾虚,SymMap2.0 SMTS49,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20049,symptom,便血,便血,血液从肛门排出，粪便颜色呈鲜红、暗红或柏油样（黑便），均称为便血,血液从肛门排出，粪便颜色呈鲜红、暗红或柏油样（黑便），均称为便血,热毒,SymMap2.0 SMTS50,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20050,symptom,表虚自汗,表虚自汗,自发出汗,自发出汗,营卫不和,SymMap2.0 SMTS51,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20051,symptom,憋气,憋气,委屈或烦恼不能发泄；心情不舒畅。有时也指有意识地不呼吸，或深或浅的吸气后，紧闭声门，作尽力地呼气动作。,委屈或烦恼不能发泄；心情不舒畅。有时也指有意识地不呼吸，或深或浅的吸气后，紧闭声门，作尽力地呼气动作。,气郁,SymMap2.0 SMTS52,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20052,symptom,病后体弱,病后体弱,,,气虚,SymMap2.0 SMTS53,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20053,symptom,病后脱发,病后脱发,,,血虚,SymMap2.0 SMTS54,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20054,symptom,病后虚弱,病后虚弱,,,气虚,SymMap2.0 SMTS55,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20055,symptom,不饥,不饥,感觉不到饥饿,感觉不到饥饿,胃阴虚,SymMap2.0 SMTS56,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20056,symptom,不寐,不寐,失眠,失眠,心肾不交,SymMap2.0 SMTS57,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20057,symptom,不能久视,不能久视,无法长时间用眼,无法长时间用眼,肝血虚,SymMap2.0 SMTS58,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20058,symptom,不省人事,不省人事,失去意识,失去意识,气血上冲,SymMap2.0 SMTS59,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20059,symptom,不食,不食,无法进食,无法进食,胃虚,SymMap2.0 SMTS60,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20060,symptom,不思乳食,不思乳食,对乳制品无饮食欲望,对乳制品无饮食欲望,脾胃虚弱,SymMap2.0 SMTS61,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20061,symptom,不思饮食,不思饮食,没有食欲,没有食欲,脾胃虚弱,SymMap2.0 SMTS62,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20062,symptom,不喜热饮,不喜热饮,不喜欢热食,不喜欢热食,胃热,SymMap2.0 SMTS63,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20063,symptom,不育,不育,,,肝肾亏虚,SymMap2.0 SMTS64,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20064,symptom,不欲饮食,不欲饮食,没有食欲,没有食欲,脾胃虚弱,SymMap2.0 SMTS65,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20065,symptom,不孕,不孕,女子未避孕，性生活正常，与配偶同居1年而未孕者，称为不孕症。,女子未避孕，性生活正常，与配偶同居1年而未孕者，称为不孕症。,肝肾亏虚,SymMap2.0 SMTS66,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
TmpTCH:SYMPTOM_20066,symptom,步履艰难,步履艰难,走路艰难,走路艰难,肾虚,SymMap2.0 SMTS67,2025-11-12,Source: symap.SymMap_v2_0__SMTS_file
