tch_id,data_category,label_zh,label_en,latin_name,has_property,has_flavor,has_meridian_tropism,has_function,use_part,toxicity,sources,xrefs,date_accessed,notes
TmpTCH:HERB_100010,herb,阿福泽尔马钱子,Afzel Poisonnut,Strychnos Afzelii,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000011;TCMID: 1525,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100011,herb,阿氏藤黄,Bitter Kola,Garcinia Afzelii,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000012;TCMID: 5917,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100012,herb,树商陆,Ombutree Pokeberry,Phytolacca Dioica,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000013;TCMID: 1103,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100013,herb,阿根廷鼠曲草,Argentine Cudweed,Gnaphalium Gaudichaudianum,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000014;TCMID: 4379,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100014,herb,阿古济天芥菜,Arguzioid Heliotrope,Heliotropium Arguzioides,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000015;TCMID: 5451,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100015,herb,阿江榄仁,,Terminalia Arjuna,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000016;TCMID: 7123,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100016,herb,,Acacia Terminalia,Terminalia Stuhlmannii,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000017;TCMID: 3753,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100017,herb,阿拉伯金合欢,Gum-Arabic Tree,Acacia Nilotica,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000018;TCMID: 1316,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100018,herb,阿拉伯婆婆纳,Iran Speedwell,Veronica Persica,,,,"To dispel wind and eliminate damp, strengthen lumbus, interrupt malaria.",Whole herb,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000020;TCMID: 7039,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100019,herb,阿里红,Fomes Officinalis Sporocarp,Fomes Officinalis,Sweet; Bitter; Warm,Sweet; Bitter; Warm,,"To relieve cough and calm asthma, dispel wind and eliminate damp, disperse swelling and relieve pain, disinhibit urine, resolve snake toxin.",Sporocarp,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000021;TCMID: 5602,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100020,herb,阿里山五味子,Taiwan Magnoliavine,Schisandra Arisanensis,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000022;TCMID: 3297,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100021,herb,黑果山姜,Allugha Galangal,Alpinia Nigra,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000023;TCMID: 2536,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100022,herb,阿伦多茄,Arundo Nightshade,Solanum Arundo,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000024;TCMID: 7494,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100023,herb,印度没药树,Sultanate-Oman Myrrhtree,Commiphora Wightii,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000025;TCMID: 5281,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100024,herb,岩山椒,Arnotti Pricklyash,Zanthoxylum Arnottianum,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000026;TCMID: 4170,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100025,herb,,Ashurbajev Wormwood,Artemisia Ashurbajevii,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000027;TCMID: 2649,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100026,herb,阿苏决明,Absus Senna,Cassia Absus,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000028;TCMID: 1793,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100027,herb,阿魏,Chinese Asafetida,Resina Ferulae; Ferulae Resina,Bitter; Pungent; Warm,Bitter; Pungent; Warm,Spleen; Stomach,"To transform concretion and disperse accumulation, kill worms, interrupt malaria.",Balsam,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000029;TCMID: 4866,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100028,herb,阿牙潘泽兰,Ayapana Eupatorium,Eupatorium Ayapana,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000030;TCMID: 4709,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100029,herb,细叶糙果芹,Ajowan,Trachyspermum Ammi,,,,"To dissipate cold and relieve pain, resolve toxin and disinhibit damp.",Fruit,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000031;TCMID: 4447,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100030,herb,阿育魏实,Fructus Trachyspermi Ammi,Fructus Trachyspermi Ammi,Acrid; Bitter; Warm,Acrid; Bitter; Warm,,Dissipate cold and relieve paindrain dampness and resolve toxin,Fruit,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000032;TCMID: 2977,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100031,herb,阿月浑子,Common Pistache,Pistacia Vera,Acrid; Warm,Acrid; Warm,,"To warm kidney, warm spleen.",Fruit,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000033;TCMID: 6740,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100032,herb,锥叶柴胡,,Bupleurum Bicaule,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000034;TCMID: 6762,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100033,herb,矮大黄,Low Rhubarb,Rheum Nanum,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000035;TCMID: 1807,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100034,herb,矮地茶,Japanese Ardisia Herb,Herba Ardisiae Japonicae; Ardisiae Japonicae Herba,Pungent; Slightly Bitter; Calm,Pungent; Slightly Bitter; Calm,Lung; Liver,1. to eliminate phlegm and relieving cough.2. to promote diuresis to deprive dampness. 3. to activate blood circulation and stop bleeding.,Whole herb,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000036;SMHB00001;TCMID: 7629,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100035,herb,埃及车轴草,Egyptian Clover,Trifolium Alexandrinum,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000037;TCMID: 7725,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100036,herb,埃及大翅蓟,Egyptian Cottonthistle,Onopordum Alexandrinum,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000038;TCMID: 3409,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100037,herb,埃及假虎刺,Egyptian Carissa,Carissa Edulis,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000039;TCMID: 7495,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100038,herb,埃及千里光,Egyptian Groundsel,Senecio Aegypticus,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000040;TCMID: 1972,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100039,herb,埃及鼠尾草,Egyptian Sage,Salvia Aegyptiaca,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000041;TCMID: 4882,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100040,herb,埃及田菁,Indian Sesbania,Sesbania Sesban,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000042;TCMID: 1386,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100041,herb,黑刺桐,Egypt Cultivate Coralbean,Erythrina Lysistemon,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000043;TCMID: 2016,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100042,herb,埃及种植鸢尾,Egypt Planted Iris,Iris Carthaliniae,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000044;TCMID: 7666,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100043,herb,矮荆豆,Dwarf Gorse,Ulex Nanus,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000045;TCMID: 1853,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100044,herb,滨菊,,Chrysanthemum Vulgare,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000046;TCMID: 1506,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100045,herb,极地草茱萸,Dwarf Cornel,Cornus Suecica ,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000047;TCMID: 4707,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100046,herb,埃利斯多孔菌,Ellisi Porous Agaric,Polyporus Ellisii,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000048;TCMID: 7592,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100047,herb,矮麻黄,Small Ephedra,Ephedra Minuta,,,,See ephedra sinica.,Herbaceous twigs,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000049;TCMID: 2810,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100048,herb,艾纳香,Balsamiferous Blumea,Blumea Balsamifera,Acrid; Slightly Bitter; Warm,Acrid; Slightly Bitter; Warm,,"To dispel wind and eliminate damp, warm center and check diarrhea, quicken blood and resolve toxin.",Branchlet-leaf,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000050;TCMID: 6494,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100049,herb,垂茄,Dwarf Nightshade,Solanum Demissum,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000051;TCMID: 5339,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100050,herb,狭叶羽扇豆,Narrowleaf Lupin,Lupinus Angustifolius,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000052;TCMID: 3126,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100051,herb,埃塞俄比亚枣,Ethiopian Jujube,Zizyphus Abyssinica,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000053;TCMID: 1737,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100052,herb,矮生博兰地,,Berlandiera Pumila,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000054;TCMID: 4595,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100053,herb,矮生熊果,Low Bearberry,Arctostaphylos Pumila,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000055;TCMID: 7537,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100054,herb,蛇鸦葱,Viper’S-Glass,Scorzonera Humilis,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000056;TCMID: 1427,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100055,herb,艾实,Fructus Artemiiae Argyi,Fructum Artemisiae Argyi,Acrid; Slightly Bitter; Warm,Acrid; Slightly Bitter; Warm,,Dispel wind and eliminate dampnesswarm the center and check diarrheaquicken the blood and resolve toxin,Whole herb,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000057;TCMID: 6848,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100056,herb,艾氏柏木,Abrams Cypress,Cupressus Abramsiana,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000058;TCMID: 7830,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100057,herb,艾氏天芥菜,Eichwald Heliotrope,Heliotropium Ellipticum,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000059;TCMID: 2824,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100058,herb,,S-Shape Coralbean,Erythrina Sigmoidea,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000061;TCMID: 4231,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100059,herb,矮桐子,Farges Glorybower,Herba Clerodendri Yunnanensis,Acrid; Bitter; Warm,Acrid; Bitter; Warm,Lung; Bladder,Dispel winddrain dampnessmove qi,"Root, stem-leaf",,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000062;TCMID: 5820,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100060,herb,艾娃筋骨草,Iva Bugle,Ajuga Iva,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000063;TCMID: 4003,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100061,herb,埃氏藜芦,Eschscholtz Falsehellebore,Veratrum Eschscholtzii,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000064;TCMID: 6327,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100062,herb,矮向日葵,Dwarf Sunflower,Helianthus Pumilus,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000065;TCMID: 5943,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100063,herb,艾叶,Argy Wormwood Leaf; Leaf of Argy Wormwood,Folium Artemisiae Argyi; Artemisiae Argyi Folium,Pungent; Bitter; Warm; Slightly Toxic,Pungent; Bitter; Warm; Slightly Toxic,Liver; Spleen; Kidney,1. to warm the channels and stop bleeding. 2. to dispel cold and stop pain,Leaf,Slightly toxic,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000066;SMHB00002;TCMID: 6218,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100064,herb,深裂叶黄芩,Przewalsk Skullcap,Scutellaria Przewalskii,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000067;TCMID: 3574,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100065,herb,矮紫金牛,Low Ardisia,Ardisia Humilis,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000068;TCMID: 7856,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100066,herb,安倍菊,Muricate Amberboa,Amberboa Muricata,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000069;TCMID: 7526,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100067,herb,海滨杜松,Shore Juniper,Juniperus Conferta ,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000070;TCMID: 2401,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100068,herb,土坛树,Angola Alangium,Alangium Salviifolium,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000071;TCMID: 4936,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100069,herb,安哥拉八角枫,,Cucumis Sagittatus,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000072;TCMID: 4580,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100070,herb,安哥拉黄瓜,Angola Cucumber,Cucumis Angolensis,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000073;TCMID: 1120,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100071,herb,安哥拉紫檀,,Pterocarpus Angolensis,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000074;TCMID: 2600,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100072,herb,安古斯图腊树,Angostura-Bark Tree,Galipea Officinalis,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000075;TCMID: 1593,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100073,herb,暗红团网菌,Carnival Candy Slime,Arcyria Denudata,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000076;TCMID: 8147,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100074,herb,暗红委陵菜,,,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000077;TCMID: 2931,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100075,herb,紫花银光委陵菜,Darksanguine Cinquefoil,Potentilla Argyrophylla Var. Atrosanguinea,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000078;TCMID: 6090,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100076,herb,暗黄猪屎豆,Flavescent Crotalaria,Crotalaria Fulva,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000079;TCMID: 1819,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100077,herb,安徽贝母,Anhui Fritillary,Fritillaria Anhuiensis,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000080;TCMID: 7222,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100078,herb,安徽楤木,Subcapitate Aralia,Aralia Elata,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000081;TCMID: 5088,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100079,herb,安徽松木,Anhui Pine,,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000082;TCMID: 2169,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100080,herb,安徽银莲花,Anhui Anemone,Anemone Anhuiensis,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000083;TCMID: 7136,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100081,herb,乌羽玉,Peyote,Lophophora Williamsii,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000085;TCMID: 1922,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100082,herb,安氏金丝桃,Ancher Stjohn’Swort,Hypericum Ancherii,,,,,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000089;TCMID: 7308,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100083,herb,安息香,Benzoin,Benzoinum,Pungent; Bitter; Calm,Pungent; Bitter; Calm,Heart; Spleen,To restore consciousness. to activate the flow of qi and blood. to relieve pain.,Balsam,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000090;SMHB00003;TCMID: 5347,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100084,herb,桉叶,Eucalyptus Leaf,Folium Eucalypit Globuli,Bitter; Acrid; Cool,Bitter; Acrid; Cool,,"To soothe wind and resolve exterior, clear heat and resolve toxin, rectify qi and transform phlegm, kill worms and relieve itch.",Leaf,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000091;TCMID: 4716,2025-11-12,Source: herb2_0.HERB_herb_info_v2
TmpTCH:HERB_100085,herb,按油,Eucalyptus Oil,Oleum Eucalypti,,,,Skin irritant. used in nerval pain.,,,/home/tcmkg/tcm-onotology/tab_data_processing/dataset/processed/herb2.0/HERB_herb_info_v2.json,HERB000092;TCMID: 7099,2025-11-12,Source: herb2_0.HERB_herb_info_v2
